"contentPlain","词义辨析","定语从句","短语辨析","固定句型","状语从句","句型","过去分词","现在分词","形容词","现在进行时","疑问句","一般现在时","表语从句","一般将来时","形式主语","被动语态","不定式","现在完成时","情态动词","一般过去时","主语从句","同位语从句","宾语从句","发音","过去完成时","过去进行时","将来进行时","其他","虚拟语气","现在完成进行时","不可数名词","不定代词","过去完成进行时","定冠词","零冠词","过去将来时","将来完成时"
"He’s one of the bar’s ______ customers, so he can enjoy the drinks at a discount.A．regularB．normalC．officialD．extraordinary","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"You should put more ______ into your work.A．effectB．effortC．fitnessD．expectation","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The place ______ interested me most was the Children’s Palace.A．whichB．whereC．whatD．who","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"When things aren’t going well, he encourages me, telling me not to ______.A．give upB．give intoC．give offD．give out","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—I will never forget the day ________ I came to the new campus for the first time.—________.A．which; So will IB．that; Neither I willC．when; Neither will ID．when; Nor I will","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"________ is often the case, those without working experience are likely to be turned down when ________ for a post.A．It, applyingB．As, applyingC．As, appliedD．It, applied","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"He asked me to _________ the newspaper articles and pictures.A．cut inB．cut offC．cut downD．cut out","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"请看句子判断划线部分属于哪种句型：Mr. Green will give us a speech on how to learn English well.A．S+V+O+AB．S+V+OC．S+V+O+CD．S+V+IO+DO","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dark clouds are a ________ of rain or snow.A．signalB．symbolC．signD．sight","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—What would you give me in ________ for my recorder?—My MP3. Do you agree?A．rewardB．turnC．preparationD．exchange","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The film was ________ and from his ________ expression on his face, we know he is frightened.A．frightened;frighteningB．frightening;frightenedC．frightened;frightenedD．frightening;frightening","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The teacher wrote an example on the blackboard to ________ his point.A．illustrateB．suggestC．expressD．recognize","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"After the trainer was sure that the whale could look after itself, he ________it into the sea.A．transportedB．unloadedC．releasedD．handled","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She felt rather ________ that she shouldn’t drive the car at such a ________ speed.A．frightening; frighteningB．frightened; frighteningC．frightening; frightenedD．frightened; frightened","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is no use excessively ________ on others’ comments. Just dance as if nobody________ .A．to focus; is watchingB．having focused; watchesC．focusing; were watchingD．to be focused; would watch","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All my friends________ Michael, an absolute early bird, say they won’t get up immediately the clock________ .A．except for; puts offB．other than; sets offC．but; takes offD．except; goes off","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The very issue________ is being discussed now has nothing in common with the one________ at last conference.A．whichhaving been discussedB．thatdiscussedC．whatto be discussedD．asbeing discussed","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
