"contentPlain","基因与核酸","细胞核的结构与功能","蛋白质的结构与功能","脂质的结构与功能","细胞壁结构与功能","细胞基础理论","细胞化学组成基础","生命系统层次理论","实验方法与技术","糖类的结构与功能","细胞渗透与物质运输","细胞的生命历程","细胞器结构与功能","物质运输方式","生物膜系统功能","显微镜使用与成像","酶的作用机制","光合作用机制","ATP与能量代谢","细胞呼吸机制","光合色素与光能捕获","叶绿体结构与功能","能量代谢过程","细胞增殖与分裂","细胞代谢调控","生物学史"
"根据下列模式图判断，下列相关叙述错误的是（）A．结构①是磷酸  B．结构②为五碳糖  C．结构③是含氮碱基  D．结构④是氨基酸","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"如图为某真核细胞的细胞核结构示意图，下列相关叙述错误的是（）A．结构①是核孔  B．结构②为细胞膜  C．结构③是核仁  D．结构④是染色质","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列物质不属于蛋白质的是（）A．胃蛋白酶  B．胆固醇  C．胰岛素  D．抗体","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列各项表示细胞结构与其主要组成成分的对应关系，错误的是（）A．染色体——DNA  B．细胞骨架——多糖  C．细胞膜——磷脂  D．植物细胞的细胞壁——纤维素","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"科学家在研究生物体的化学成分时，发现组成生物体的元素在无机自然界中也都存在，这一事实主要说明（）A．非生物来源于生物  B．生物界与无机自然界具有统一性  C．生物界与无机自然界具有差异性  D．生物与非生物在元素组成上没有区别","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"审视各层次生命系统的关系，无论从结构上还是功能上，能够称为生命系统的最基本层次的是（）A．细胞  B．水  C．各种分子  D．个体","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列有关实验课题与相应方法的叙述，错误的是（）A．制作人口腔上皮细胞临时玻片标本时，放细胞前要在载玻片中央滴一滴0.9%的生理盐水  B．“检测组织中的脂肪”和“观察植物细胞的质壁分离及复原”两个实验中，吸水纸的作用不相同  C．在高倍光学显微镜下可观察到叶绿体具有双层膜结构  D．斐林试剂使用时需现配现用、等量混匀后再使用","0","0","1","1","0","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"某种生物符合以下几个特点：没有成形的细胞核；可将水和二氧化碳合成有机物；膜结构较丰富。该生物最可能是（）A．蓝细菌  B．黑藻  C．大肠杆菌  D．草履虫","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"大豆是我国重要的粮食作物，其内含有多种营养物质。下列叙述正确的是（）A．叶肉细胞中的微量元素镁可参与叶绿素的合成  B．大豆油因含有饱和脂肪酸，其熔点较低，故室温时呈液态  C．淀粉和纤维素都是由葡萄糖聚合形成的多糖，两者结构不同  D．可用  3  H标记亮氨酸羧基上的H追踪细胞内蛋白质的合成与分泌过程","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"某化合物可使淋巴细胞分化为吞噬细胞（可吞噬细菌）。实验小组研究了该化合物对淋巴细胞的影响，结果如下表。下列叙述错误的是（）分组  细胞特征  核 DNA 含量增加的细胞比例  吞噬细菌效率  对照组  均呈球形  59.20%  4.61%  实验组  部分呈扁平状，溶酶体增多  9.57%  18.64%  A．部分呈扁平状是遗传物质改变的结果  B．对照组处于细胞分裂期的细胞比例小于59.20%  C．据表推测吞噬细胞吞噬细菌的效率可能与溶酶体数量有关  D．实验结束后，去除该化合物的扁平状细胞不会恢复成球形","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"溶酶体膜上存在两种H⁺转运蛋白，H⁺转运蛋白1能够将细胞质基质中的H⁺逆浓度梯度转运至溶酶体，H⁺转运蛋白2是一种通道蛋白，能够将溶酶体内过多的H⁺转移至细胞质基质，从而维持溶酶体pH值的稳定。下列分析错误的是（）A．H⁺通过转运蛋白1进入溶酶体需要消耗能量  B．抑制细胞呼吸，溶酶体的pH值可能会降低  C．H⁺通过H⁺转运蛋白2进入细胞质基质属于协助扩散  D．H⁺转运蛋白2发生功能障碍可能导致细胞内衰老损伤的细胞器增多","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"生物大分子是由单体连接形成的多聚体，下列叙述不正确的是（　　）A．单体以碳链为骨架  B．单体经脱水缩合形成多聚体  C．多聚体都可以为生命活动供能  D．不同多聚体的结构一般不同","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"捕蝇草主要分布于缺乏氮、磷等矿质元素的沼泽地中，可通过捕虫夹捕捉和消化昆虫来满足其养分需求。捕蝇草的捕虫夹属于变态的叶片，在高温条件下会瞬间关闭捕虫夹（如下图），因此，可避免沼泽地野火带来的伤害。研究表明，沼泽地野火之后，捕蝇草能获得空前的繁荣。下列相关叙述不正确的是（　　）A．捕蝇草的捕虫夹是生命系统的器官层次，直接参与构成生命系统的个体层次  B．不同生物体内元素种类具有统一性，因此捕蝇草可通过捕捉消化昆虫来满足养分需求  C．沼泽地中的水具有较低的比热容，可以进一步保护捕蝇草免受沼泽地野火的过度灼伤  D．沼泽地火灾后，其它生物燃烧留下的灰烬能为捕蝇草的繁荣提供氮、磷等大量元素","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"核孔是细胞核上由一组蛋白质以特定的方式排布形成的结构，被称为核孔复合物，可选择性输送物质。核孔复合物的运输障碍会导致疾病，例如心房颤动。下列说法正确的是（　　）A．核膜由两层磷脂分子组成，具有选择透过性  B．核孔数目与细胞代谢有关，人成熟红细胞代谢弱，核孔数目少  C．核孔复合物由细胞质中的核糖体合成  D．核孔复合物与核膜内外的物质运输有关，与信息交流无关","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"联系内质网与高尔基体之间物质运输的小泡表面具有由蛋白质构成的笼状衣被，衣被小泡主要有 COPⅡ衣被小泡和COPⅠ衣被小泡两种类型。COPⅡ衣被小泡介导物质从内质网到高尔基体的顺向运输；COPⅠ衣被小泡介导从高尔基体将可循环的或错误修饰的物质运回内质网的逆向运输。下列相关叙述正确的是（　　）A．内质网膜、高尔基体膜及衣被小泡膜的成分和结构相同  B．推测顺向运输和逆向运输都与衣被小泡膜蛋白的识别功能有关  C．大肠杆菌中可发生衣被小泡的顺向运输和逆向运输  D．衣被小泡在内质网和高尔基体间运输表明两者存在结构上的直接联系","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"《中国居民膳食指南》提出的“控糖”建议是：添加糖（在食物的烹调、加工过程中添加进去的单糖、二糖等糖类甜味剂）的摄入量每天不超过50g，最好控制在25g以下。下列有关叙述正确的是（　　）A．“无糖饼干、0糖饮料”等产品不含任何糖类物质  B．只要不吃甜味的食物，糖类摄入量就会为零  C．添加糖都可以与斐林试剂反应产生砖红色沉淀  D．糖尿病病人不仅要控制添加糖，还要控制主食的摄入","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"天竺葵叶片边缘出现枯黄的现象，研究人员对病因提出了两种观点。观点一：土壤中缺钾引起；观点二：土壤中缺镁引起。为探究上述哪种观点是正确的，配制三种培养液进行实验，培养液主要成分的配方如下表所示。下列叙述不正确的是（　　）组别  培养液所含主要成分的质量浓度/（mg·L  -1  ）  Ca（NO  3  ）  2  KH  2  PO  4  MgSO  4  FeCl  3  （NH  4  ）  2  SO  4  A组   1 000  250   250  150  250  B组  1 000  0  250   150  250  C组  1 000  250  0  150  250  A．选择若干正常长势的同种植物幼苗作为实验材料  B．若只有 B组出现枯黄的现象，不能确定观点一是否正确  C．若只有C组出现枯黄的现象，则说明观点二可能正确  D．叶片边缘枯黄的现象体现了无机盐对维持细胞酸碱平衡有重要作用","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"最初认为食砷细菌（GFAJ-1）可以食用湖泊中的毒性砷物质，事实上这种细菌的蛋白质具有很强的“过滤”功能，从而可以栖息于含有大量砷物质的湖中。甚至在缺乏磷元素的情况下吸收砷元素进入细胞内，用砷来代替部分磷构筑生命分子和参与生化反应。根据材料进行预测，以下说法错误的是（　　）A．可以利用同位素标记法追踪细胞内砷元素的动向  B．该细菌能用砷元素合成糖类、脂质、蛋白质等  C．该细菌体内砷元素含量可能比铜、铁元素多  D．该发现拓宽了在地球极端环境寻找生命的思路","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
