"contentPlain","幂函数","函数单调性","指数函数","基本不等式","解不等式","函数奇偶性","分段函数","集合的运算","函数图象","函数零点","对数函数","特称（存在性）命题","恒成立问题","函数根分布","函数的概念","三角函数","复合函数","充要条件","容斥原理","集合","导数"
"已知a=(1/2)^3-1，b=3.1^1/2，c=(1/3)^3，则a，b，c的大小关系为（）A．  c<a<b  B．  a<c<b  C．  c<b<a  D．  a<b<c","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列函数中，在区间( 0 , + x )上单调递减的是（）A．  y=√(x)  B．  y=-/λ1  C．  y=(1/2)^x  D．  y=x^3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知x，y均为正实数，且x+2y=2.则1/x+1+1/2y+1的最小值为（）A．1  B．2  C．3  D．4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"十六世纪中叶，英国数学家雷科德在《砺智石》一书中首先把“＝”作为等号使用，后来英国数学家哈利奥特首次命题正确的是使用“＜”和“＞”符号，并逐渐被数学届接受，不等号的引入对不等式的发展影响深远．已知a，b，c满足c<b<a，且a+c=0，那么下列选项中一定成立的是（）A．  c b^2<a b^2  B．  a(b-a)<0  C．  a c(a-c)>0  D．  a b>c^2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列函数中，在定义域上既是奇函数又是增函数的是（）A．  y=x+1  B．  y=√(x)  C．  y=-1/x  D．  y=x^3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"设函数f(x)=3x+1,x<1x^2+1,x≥1，则f(f(0))=（）A．0  B．1  C．2  D．5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知A={x|2x-3>0  }，则有（）A．  ℑ∈𝒜  B．  2⊆A  C．  | 3⟩∈A  D．  |4⟩⊆A","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知函数f(x)=sinα, -1≤x<1-3/2f(x-2), x≥1，g(x)=e^x-1，则方程f(x)=g(x)的实根个数是（）A．2  B．.3  C．4  D．5","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"已知函数g(x)=f(x)+f(-x)/2，h(x)=f(x)-f((-x))/2，且[ g(x) ]^2-[ h(x) ]^2=1，则函数f(x)可能是（）A．  f(x)=x  B．  f(x)=x^2  C．  f( x)=2^x  D．  f(x)=log_xx","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"命题“若X∋|，则 x>0”的否定是（）A．若  X≥|  ，则   x≤0  B．若  X≪ ⌋  ，则   x>0  C．存在一个实数  𝐗̅  ，满足  X∋|  ，但   x≤0  D．对任意实数  𝐗̅  ，满足  X∋|  ，但   x≤0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"设集合U={ 1,2,3,4,5}，A=i_μ^†l.3_t^†，B={1,3,4}，则( C_l JA ) ∩( C_l JB )=（）A．  _1/k|_1/2  B．  |2,S|  C．  |2,4^·  D．  !↑,2,3,4↑","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"关于𝐗̅的不等式2m x^2+m x-1>0的解集为空集，则Jℳ的取值范围为（）A．  (-8,0]  B．  (-8,0)  C．  ( - ∞, - 8 | ∪ [ 0, + ∞ )  D．  ( - ∞, - 8 )∪( 0, +ασ )","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"已知函数y=f(x)，x∈ℝ且f(0)=1，f(1)/f(0)=2，f(2)/f(1)=2，f(3)/f(2)=2··f(n)/f(n-1)=2，n∈ℕ^∘，则y=f(x)的解析式可能为（）A．  f(x)=4^x  B．  f((x)=2^x  C．  f(x)=4^x-1  D．  f(x)=2^x-1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"方程x^2+m x+4=0有两个不相等的正实数根的一个充分不必要条件是（）A．  m>4  或  m<-4  B．  m<-5  C．  m>4  D．  m<-4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"命题“∀a∈ℝ，一元二次方程x^2+a x+6=0有实数根”的否定是（）A．  ∀a∈ℝ  ，一元二次方程  x^2+a x+6=0  没有实数根  B．  ∃a∈ℝ  ，一元二次方程  x^2+a x+6≠0  有实数根  C．  ∀a∈ℝ  ，一元二次方程  x^2+a x+6x-0  有实数根  D．  ∃a∈ℝ  ，一元二次方程  x^2+a x+6=0  没有实数根","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"下列关系中：①0∈i0 ∈ 1，②ϑ∉{0}，③π∈Q，④†( 1,2 ) ↑ = ↑ ( 2 , 1 ) ↓正确的个数为（）A．1  B．2  C．3  D．4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"若在定义域内存在实数x_0，满足f(∂-x_0)=-f(x_0)，则称f(x)为“有点奇函数”，若f(x)=4^x-m2^x+1+m^2-3为定义域R上的“有点奇函数”，则实数Jℳ的取值范围是（）A．  1-√(3)<m≤1+√(3)  B．  1-√(3)≤m≤2√(2)  C．  - 2√(2)≤m≤2√(2)  D．  - 2√(2)<m<1-√(3)","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"已知m>0 , n>0 , log_√(2)(3m)+log_2n=log_√(2)( 2m^2+n )，则log_2m-log_4n的值为（）A．  -  B．1  C．  -  或0  D．1或0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"函数y=√(3^2x-1-1/27)的定义域是（）A．  [-2,+∞)     B．  [-1,+∞)     C．  (-∞, -1]     D．  (-∞, -2]","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"“ x>0”是“|<x<4”的（）A．充分不必要条件  B．必要不充分条件  C．充要条件  D．既不充分也不必要条件","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"已知集合A=
;\|, 3, 5, 7↑ , B=  ♯ 1, 2, 3↑，则A^|B=（）A．  ||_1 ⟩_,1 ⟩_, ⟩_,1  B．  ℑ_1,  3ℑ  C．  |2, 5, 7;  D．  _1/k|_1/2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知正数Q，∂满足( a-1 ) ( b-2 )=2，则ℵ_a+b的最小值为（）A．18  B．14  C．12  D．10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"若函数f(x)满足f( x+y )=2f( x )+2f( y )+9，则f(0)=（）A．  -9  B．0  C．  -l  D．  -μ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"若函数f( 3x-1 )=3x^2-1，则f(x)=（）A．  1/3(x-1)^2-1  B．  1/9(x-1)^2-1  C．  1/3(x+1)^2-1  D．  1/9(x+1)^2-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"为得到函数y=2sin(2x+π/3)的图象，只需要将函数y=2sin2x的图象（）A．向左平移  πo  个单位长度  B．向左平移  T/3  个单位长度  C．向右平移  5π/6  个单位长度  D．向右平移  11π/3  个单位长度","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"式子1+tan15/1-tan15的值为（）A．  y_3  B．2  C．    D．  √(6)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"定义在( 0 , + x )上的函数f(x)满足：对∀x_1,x_2∈(0,+∞)，且x_1≠x_2，都有x_2f( x_1)-x_1f( x_2)/x_1-x_2<0成立，且f(3)=9，则不等式f((x)-3x>0的解集为（）A．  ( 0,2 )  B．  (2,+∞)  C．  (0,3)  D．  ( 3 , + ∞ )","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"设a=(3/5)^2/5，b=(9/25)^-1/3，c=(2/5)^2，d=(4/25)^1/3，则Q，∂，𝒞，d的大小关系是（）A．  b>a>c>d  B．  a>b>c>d  C．  b>d>a>c  D．  b>a>d>c","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知m_2^1+m_-2^-1=5，则m+m^-1的值是（）A．22  B．23  C．24  D．25","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"“a>b>0”是“1/a<1/b”的（）A．充分不必要条件  B．必要不充分条件  C．充要条件  D．既不充分也不必要条件","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"已知正实数a，b，c满足a+1/a=2^a-2, b+1/b=3^b-3,c+1/C=4^a-4，则a，b，c的大小关系为（）A．  c<b<a  B．  a<b<c  C．  a<c<b  D．  b<a<c","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"已知函数f(x)的定义域为R，且满足∫(x)+f(y)=f(x+y)-2x y^+2，f((1)=2，则f(4)=（）A．4  B．8  C．14  D．16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
