"contentPlain","词义辨析","一般将来时","句型","同位语从句","短语辨析","状语从句","定语从句","一般现在时","被动语态","一般过去时","其他","现在进行时","过去分词","过去完成时","形容词","现在完成时","不定代词","不定式","现在分词","主语从句","表语从句","宾语从句","过去进行时","现在完成进行时","情态动词","将来进行时","发音","虚拟语气","过去完成进行时","过去将来时","将来完成时","动名词"
"In the near future, there ________ self-driving cars in our city.A．is  B．was  C．are  D．will be","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She is ________ to live in a country house and paint pictures all day.A．content  B．satisfying  C．devoted  D．considerate","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We should place ________ emphasis on development and security(安全), and develop nuclear energy on the base of security.A．equal  B．central  C．important  D．maximum","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The ladies spent some time _________ on each other’s health and families.A．suffering from  B．coming across  C．bringing up  D．catching up","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"There is no doubt _________ this candidate’s advantage _________ his ability to communicate with foreigners in English.A．that; makes up  B．whether; goes against  C．that; lies in  D．whether; leaves out","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The government’s strong actions demonstrated our _________ to uphold One-China principle.A．energy  B．resistance  C．courage  D．determination","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"President Xi encourages Chinese people to plant trees _________ our country can be more beautiful.A．in order to  B．even though  C．as long as  D．so that","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Disney is an amusement park ________ you can find all the normal attractions and Disney movies.A．which  B．where  C．that  D．when","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"This is the first birthday gift ________ I received. I’ve kept it many years.A．which  B．that  C．who  D．what","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"As it is possible now to import from distant countries, people today have a more ___ diet than their ancestors.A．various  B．variety  C．varies  D．various of","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The speaker spoke of some writers and some books ________ were popular then.A．who  B．that  C．which  D．what","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"With his attention________on his book, he noticed nothing.A．concentrated  B．concentrate  C．concentrating  D．to concentrate","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Research indicates that eating habits are changing fast.A．示意  B．显示  C．建议  D．表明","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We’ll never forget the heroes ________ bring people hope in difficult times.A．which  B．what  C．whose  D．who","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Some say the meaning of Mona Lisa’s smile is________ clouded by da Vinci who used perspective and shadows to create a________ expression.A．purposefully; confused  B．dramatically; confused  C．purposefully; confusing  D．dramatically; confusing","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Every year millions of tourists and pilgrims are________ to Vatican City mainly by the ceiling of the Sistine Chapel, which Michelangelo________ to paint in 1508.A．hooked; was assigned  B．hooked; assigned  C．attracted; was assigned  D．attracted; assigned","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"In March 2001, the Taliban blew up two colossal Bamiyan Buddha statues, the 6th-century________, carved into sandstone cliffs because they were un-Islamic.A．remained ruins  B．remaining ruins  C．remained relics  D．remaining relics","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"He is the murderer________ arrest a reward was offered by the local police.A．for whom  B．of whom  C．for whose  D．of whose","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Life is like a long race________ we compete with others to go beyond ourselves.A．which  B．what  C．that  D．where","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The old saying that you should live each day________ it were your last________ true.A．even if; still proves  B．even if; is still proved  C．as if ; still proves  D．as if ; is still proved","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"This large woodland is ________to many birds and other wildlife.A．local  B．home  C．native  D．belonged","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"They gave me some help in the beginning, but it didn’t ________to much.A．add  B．amount  C．equal  D．refer","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The only thing________ many of the papers focus their attention is the argument about the statements made by the foreign secretary.A．which  B．that  C．on which  D．on that","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The policeman was following the man ________he thought was the escaped prisoner.A．because  B．when  C．whom  D．who","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is in this school ________ lots of activities are offered ________ I am able to develop my interests.A．where; that  B．where; which  C．that; that  D．that; which","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"My grandma still remember the days ________ she spent ________ with you in the country side.A．that; staying  B．during; to stay  C．when; staying  D．what; to stay","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"____________you stick to reading English aloud every day, your oral English will get better.A．As long as  B．Even though  C．As soon as","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony, have you finished reading the book ____________you borrowed from the library last week?A．what  B．that  C．who","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"You can’t wake a person ________ is pretending to be asleep.A．who  B．which  C．he  D．不填","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eton College in England was ________ in 1440 by King Henry VI to give free education to poor students.A．cleaned up  B．set up  C．fixed up  D．cheered up","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alice had a wonderful time yesterday, ________?A．hadn’t she  B．wasn’t she  C．didn’t she  D．wouldn’t she","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"— Is tea ready?— No, mother is ________ it ready now.A．doing  B．cooking  C．burning  D．getting","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—Do you have books on famous inventors ________are suitable for kids to read? —Yes, madam. They’re over there. This way, please.A．who  B．which  C．whose","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—I really admire the medical workers who rushed to Wuhan bravely to fight against the novel coronavirus.—They ________ as the most beautiful Heroes in Harm’s Way.A．regarded  B．are regarded  C．have regarded","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"When you’re finished with the book, don’t forget to put it back on the shelf, ________?A．to do  B．don’t you  C．will you  D．wouldn’t you","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The prize will go to the writer ________story shows the most imagination.A．that  B．which  C．whose  D．who","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She always considers her best friend as someone________ she can share everything.A．about whom  B．with whom  C．with which  D．about which","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She didn’t fancy the idea of going home in the dark.A．花哨的  B．自认为是  C．想要  D．精致的","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The scientist found the equipment in the laboratory_____.A．damage  B．damaging  C．to damage  D．damaged","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—_____Mike is now 17, he is still like a little child.—Well, that’s because he depends on his parents for almost everything.A．Even though  B．When  C．Unless  D．If","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"How many buildings ________when the hurricane ended?A．was destroyed  B．had been destroyed  C．destroyed  D．is destroyed","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is ________to see the animals and plants that are found nowhere else in the world.A．amazed  B．amazing  C．amaze  D．to amaze","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The scientist buried himself in studies and rarely ________ clothes and food.A．cares about  B．rather than  C．cared about  D．be cared about","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She worked as a waitress and earned minimum wage. ________, she never forgot her dream.A．Now and then  B．More often than not  C．Even so  D．Most likely","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Since the start of their career, there have been plenty of ________, but they still persevere.A．ins and outs  B．ups and downs  C．dos and don’ts  D．back and forth","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The four countries that belong to the United Kingdom work together in some areas.主句中的主语是:________。A．the four countries  B．the United Kingdom  C．Some areas  D．belong to","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Born in the USA, Whitacre began studying music at the University of Nevada. 句子中的谓语动词是________。A．Born  B．began  C．Whitacre  D．studying","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Don’t judge a person by his ________. We should observe what he has done and what he has said.A．impression  B．expression  C．contradiction  D．appearance","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Have you ever ________to the museum ________we paid a visit last year?A．been, which  B．been, to which  C．gone, which  D．gone, to which","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"You will have to go back the same way ________you came to avoid losing your way.A．where  B．that  C．which  D．as","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The thief handed ________he had stolen to the police.A．all which  B．all what  C．everything  D．everything which","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It will be my ________ birthday next Sunday.A．fifteenth  B．the fifteenth  C．fifteen  D．the fifteen","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It was in this old farm house ________ his grandfather built 50 years ago ________ he was born and bred.A．where; when  B．which; that  C．that; which  D．where; which","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Determining where we are in relation to our surroundings remains an essential skill for our ________.A．survive  B．survival  C．survivor  D．survived","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A person who loses his family needs time to ________ his sorrow.A．work out  B．work on  C．work as  D．work through","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"He is ________ with what he has achieved.A．content  B．pleasant  C．satisfying  D．bothering","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The engineer ________ my father works is about 50 years old.A．To whom  B．on which  C．with which  D．with whom","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—These problems are too hard to________. Will you give me some advice?—There are many ways. The most important is to have a careful plan.A．work out  B．look out  C．hand out  D．break out","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Part of Beijing Subway Line 19 has already been put into operation, and the government has ________ that four more stations on this line will open within 2022.A．defined  B．disarmed  C．declared  D．demanded","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Everyone ________ difficulties with academic work at one time or another, and overcoming these challenges is a vital part of learning as well.A．encounters  B．survives  C．defeats  D．registers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Web is a minefield (雷区) where you can literally be bullied to death via social media, and a loose text can ______ your reputation.A．appoint  B．limit  C．ruin  D．fade","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The mayor is vigorously proposing something utterly ______ to New Yorkers: tax cuts.A．alien  B．amazing  C．relevant  D．obvious","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"By and large, people felt that their actions and hard work — not outside forces — were the deciding ______ in how their lives turned out.A．essay  B．expectation  C．factor  D．signal","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
